Fecha;Comercial;Cliente_Contacto;Provincia;Producto;Cantidad;Importe;Comentario
04/03/2026;Javier Molina;rocío jiménez;Cádiz;Cubertería inox;7;51,59;Revisar stock
21-03-2026;David Ortega;laura pérez;Sevilla;Cubertería inox; 2 ;136.7;
2026-01-22;Laura Gómez;CRISTINA ROMERO;Huelva;Menaje hostelería;1;16,53;
15/02/2026;Laura Gómez;  Ana   Torres  ;;Menaje hostelería;3;;Falta importe
2026-03-17;Antonio Reyes;carmen fernández;Sevilla;Cinta métrica;4;336,68 €;Revisar stock
2026-01-28;Rocío Fernández;javier fernández;Huelva;Pintura plástica 15L;6; 268.68 ;
10-03-2026;Rocío Fernández;  Manuel   García  ;Granada;Guantes de trabajo;9;143.82;
2026-03-05;Rocío Fernández;  María   Pérez  ;Córdoba;Mantelería antimanchas; 7 ;90.3;Revisar stock
23/02/2026;Laura Gómez;JUAN GARCÍA;Córdoba;Herramienta eléctrica;5;423.5;Revisar stock
21/03/2026;David Ortega;  Rafael   Martínez  ;Granada;Cristalería pack 24;1; 84.90 ;Cliente habitual
;Antonio Reyes;Pedro Vidal;Cádiz;Cinta métrica;2;12.5;
04/03/2026;Javier Molina;rocío jiménez;Cádiz;Cubertería inox;7;51,59;Revisar stock
18/01/2026;Antonio Reyes;Francisco Martínez;;Herramienta eléctrica;9;386,01 €;
2026-03-23;David Ortega;marta fernández;Cádiz;Cubertería inox;4;272,84 €;
2026-01-24;Antonio Reyes;MANUEL GARCÍA;Málaga;Cubertería inox;3;169,80;
2026-02-23;Javier Molina;CRISTINA DOMÍNGUEZ;Granada;Cafetera industrial;5;416.8;Entrega urgente
26/02/2026;Javier Molina;juan lópez;Córdoba;Guantes de trabajo;6;516,78 €;Cliente habitual
24/03/2026;Javier Molina;Juan Jiménez;;Menaje hostelería;4; 266.88 ;Entrega urgente
16/02/2026;Marta Domínguez;José Fernández;Granada;Cristalería pack 24;5;225,80 €;Revisar stock
2026-02-24;Javier Molina;LUCÍA ROMERO;Málaga;Cinta métrica;9;431.19;
10-02-2026;Rocío Fernández;rocío martínez;;Tornillería surtida;5;35,90 €;
2026-02-08;Antonio Reyes;manuel sánchez;Sevilla;Cinta métrica;1;10.08;Revisar stock
22-01-2026;Antonio Reyes;  Lucía   Domínguez  ;Huelva;Mantelería antimanchas;4;138,68;
13/02/2026;Marta Domínguez;JOSÉ ORTEGA;Córdoba;Herramienta eléctrica;4;246,28 €;
11/03/2026;Marta Domínguez;  Cristina   Molina  ;Sevilla;Herramienta eléctrica; 5 ;223,85;Revisar stock
2026-01-27;Laura Gómez;juan lópez;Málaga;Candado seguridad;10;320.4;
2026-01-12;Rocío Fernández;José Molina;Málaga;Candado seguridad;8; 500.08 ;Pedido telefónico
17-02-2026;Antonio Reyes;  Rafael   Ruiz  ;Granada;Cubertería inox;9;682,02 €;Pedido telefónico
2026-01-20;Laura Gómez;Juan Romero;Córdoba;Tornillería surtida;6;537.06;Pedido telefónico
2026-02-17;Antonio Reyes;antonio jiménez;Granada;Herramienta eléctrica;5;242,90;Entrega urgente
03-01-2026;Laura Gómez;Lucía García;Cádiz;Bombilla LED pack 10;10;855,00 €;
16-01-2026;Marta Domínguez;Francisco Pérez;Córdoba;Bombilla LED pack 10;6; 436.62 ;
11/01/2026;Javier Molina;María Ruiz;Huelva;Pintura plástica 15L; 1 ; 82.23 ;Entrega urgente
2026-01-02;Marta Domínguez;MANUEL REYES;Córdoba;Mantelería antimanchas;8;87,44 €;Pedido telefónico
2026-03-26;Antonio Reyes;  Cristina   Fernández  ;;Bombilla LED pack 10;6;68.76;Revisar stock
2026-01-21;Rocío Fernández;FRANCISCO JIMÉNEZ;;Mantelería antimanchas;4;84.76;Pedido telefónico
2026-03-05;Rocío Fernández;Manuel García;;Guantes de trabajo;2;98,58 €;Entrega urgente
27/02/2026;Rocío Fernández;  Juan   Reyes  ;Huelva;Bombilla LED pack 10;7;604,52 €;Entrega urgente
2026-03-03;Javier Molina;ISABEL MOLINA;Granada;Menaje hostelería;1;43,51;Entrega urgente
18/02/2026;Javier Molina;antonio sánchez;Málaga;Pintura plástica 15L;5;240,25 €;
2026-02-07;Antonio Reyes;Carmen Gómez;Sevilla;Tornillería surtida;10;170.1;
10-03-2026;Antonio Reyes;JOSÉ MOLINA;Granada;Guantes de trabajo;10;375,00 €;Cliente habitual
17/03/2026;Antonio Reyes;Laura Domínguez;Sevilla;Menaje hostelería;2;32,74;
2026-02-12;Rocío Fernández;David López;Huelva;Candado seguridad; 6 ;118,38;Cliente habitual
02-03-2026;Antonio Reyes;ISABEL SÁNCHEZ;Málaga;Herramienta eléctrica;10;305,30 €;
16-01-2026;Marta Domínguez;Francisco Pérez;Córdoba;Bombilla LED pack 10;6; 436.62 ;
2026-03-27;Rocío Fernández;Laura Ruiz;Sevilla;Cinta métrica;6;519.12;Pedido telefónico
18/02/2026;Javier Molina;antonio sánchez;Málaga;Pintura plástica 15L;5;240,25 €;
12-02-2026;Antonio Reyes;ROCÍO REYES;Sevilla;Pintura plástica 15L;5;245.85;Cliente habitual
25-01-2026;Antonio Reyes;Manuel Pérez;Málaga;Tornillería surtida;6;376.08;
2026-01-04;Marta Domínguez;JUAN GARCÍA;Huelva;Cinta métrica;7; 539.42 ;Revisar stock
